"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"720.","ODYSSEAN INVESTMENT TRUST PLC","11121934","64301","31/03/2025","2900","","81","OIT","Activities of investment trusts","GB00BFFK7H57","-425","-425","-425","","","","","","","","","","-1382","","","","","-1382","-1382","541","183512","","184894","183512","","","","","","","","","","","","","","","","n.a.","183512","1330","","","","182182","72823","","-857","110216","n.a.","183512","-762","","-37","-22101","","","","","19397","-3503","","-14.655172414"
"721.","ON THE BEACH GROUP PLC","09736592","79110","30/09/2024","128200","583","97","OTB","Travel agency activities","GB00BYM1K758","21200","36300","26500","-281300","","","","","","","","","-29600","-900","","","","-28700","-310900","114800","118800","-118500","495900","185000","","","","","","","","","-2100","","-2100","-400","-400","","","-2500","182500","1700","","","","180800","89600","","220200","-129000","n.a.","182500","36100","100","-3900","-10300","","","-1500","","-1800","18700","28.315132605","20.670826833"
"722.","ONE HEALTH GROUP PLC","04201068","86220","31/03/2025","28381.835","44","95","OHGR","Specialist medical practice activities","GB00BNNT0595","1487.459","1620.453","1545.541","","-25.641","-25.641","","","","","","","-5834.113","-466.897","","-3484.895","-46.12","-1836.201","-5859.754","9522.377","12743.006","3284.492","18602.76","12743.006","-1089.741","","","","","","","-1089.741","","","","-96.93","-96.93","","","-1186.671","11556.335","68.548","","","","11487.787","5432.223","29.988","6170.995","-145.419","n.a.","11556.335","1878.404","58.082","-202.494","-262.801","","","-587.784","","5846.831","6730.238","5.709472273","5.445528804"
"723.","ONE MEDIA IP GROUP PLC","05799897","59200","31/10/2024","4882.349","12","88","OMIP","Sound recording and music publishing activities","GB00B1DRDZ07","1133.014","2207.405","776.238","-63.093","-380","","","","","","","-380","-1222.039","-329.573","","-389.974","-36.823","-465.669","-1665.132","1068.971","1076.693","85.328","15116.997","13451.865","-743.49","","","","","","","-743.49","","","","","","","","-743.49","12708.375","1112.231","","","","11687.837","9484.577","","1535.507","667.753","-91.693","12708.375","665.99","-0.644","-176.248","-819.853","","","-122.345","","-374.48","-827.58","45.211946135","15.898863436"
"724.","OPTIBIOTIX HEALTH PLC","05880755","70100","31/12/2024","870","10","86","OPTI","Activities of head offices","GB00BP0RTP38","-2266","-2057","-1866","-270","","","","","","","","","-98","","","-63","","-35","-368","1055","7560","274","9045","8677","","","","","","","","","","","","-279","-279","","","-279","8398","1959","","","","6439","4107","","585","1747","n.a.","8398","-1832","","64","587","","","","","1285","104","n.s.","n.s."
"725.","OPTIMA HEALTH PLC","13886031","82990","31/03/2025","105049","1511","88","OPT","Other business support service activities n.e.c.","GB00BRSCY602","3240","13653","2575","-3827","","","","","","","","","-8858","","","-4316","-2870","-1672","-12685","21369","24348","13921","218143","205458","-17000","","","","","","","-17000","-3859","","-3859","-16479","-13092","-3387","","-37338","168120","888","","","","167232","2993","","1797","162442","n.a.","168120","4708","665","-2686","-5651","","","-20746","","17411","-6299","12.996791973","2.451237042"
"726.","ORACLE POWER PLC","05867160","08990","31/12/2024","","5","29","ORCP","Other mining and quarrying n.e.c.","GB00B23JN426","-730.119","-728.789","-711.875","-98.609","","","","","","","","","-93.579","","","-73.064","","-20.515","-192.188","470.782","1590.491","-98.609","6978.954","6786.766","","","","","","","","","","","","","","","","n.a.","6786.766","3800.789","","","","2985.977","20090.872","","-15947.9","-1156.995","n.a.","6786.766","-588.935","-19.907","","-12.162","","","","","1036.584","415.58","",""
"727.","ORCHARD FUNDING GROUP PLC","09618919","64921","31/07/2024","9640","23","95","ORCH","Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors","GB00BYZFM569","2113","2202","2119","-7003","-29693","","","","","","","-29693","-3027","-542","","-2311","-41","-133","-39723","19825","29317","-7003","69185","29462","-10529","","","","","","","-10529","","","","-1","-1","","","-10530","18932","214","","","","18687","8692","","9104","891","31","18932","-5011","6","-460","-634","","","-427","","5458","-1068","22.842323651","21.981327801"
"728.","ORIGIN ENTERPRISES PUBLIC LIMITED COMPANY","IE426261","70100","31/07/2024","1724942.64537078","2845","95","OIZ","Activities of head offices","IE00B1WV4493","53025.7076653856","85188.8694691014","44178.8144804919","-471294.371760598","-23391.3137478209","","-11292.1839050797","","-12098.2866390445","","-12098.2866390445","-0.84320369661587","-114350.226112865","-5512.86576847456","","-80663.395229364","-21926.6689267991","-6247.29618822698","-609035.911621284","96689.3246872452","262524.725311778","75245.811478607","1182438.03502358","573402.123402297","-205243.368589572","","","-39785.7232211232","","-39785.7232211232","","-165457.645368449","-453.643588779338","","-453.643588779338","-26266.638353281","-18324.5027348561","-7942.13561842488","","-231963.650531633","341438.472870664","1056.53423185969","","","","340381.938638805","135356.116602959","","205025.822035845","","n.a.","341438.472870664","26222.7917610569","1796.0238737918","-13545.2241824373","-73145.3910703369","","","-15632.9965352582","","54608.4010039336","-19696.3951492501","4.938649392","2.561175851"
"729.","ORIOLE RESOURCES PLC","05601091","07290","31/12/2024","","18","86","ORR","Mining of other non-ferrous metal ores","GB00B0T29327","-1071","-1052","-289","-80","","","","","","","","","-244","","","-125","-119","","-324","1122","1191","-80","14648","14324","","","","","","","","","-2443","","-2443","","","","","-2443","11881","8102","","","","3818","25850","","-23745","1713","-39","11881","-1439","12","-15","884","","","","","1149","591","",""
"730.","OSB GROUP PLC","11976839","64205","31/12/2024","667200","2559","64","OSB","Activities of financial services holding companies","GB00BLDRH360","418100","429300","418100","","-1935200","","","","","","","-1935200","-25051300","","","-34000","","-25017300","-26986500","1577000","3195500","","30243600","3257100","-1016000","","","","","","","-1016000","","","","-17700","-13100","-4600","","-1033700","2223400","3700","","","","2219700","4500","","3406400","-1191200","n.a.","2223400","2355100","-236600","-119400","-66000","","","-126400","","-1089300","717400","64.34352518","62.664868106"
"731.","OVOCA BIO PUBLIC LIMITED COMPANY","IE105274","72190","31/12/2024","","1","n.a.","OVB","Other research and experimental development on natural sciences and engineering","IE00B4XVDC01","-2.48431744362985","-2.48431744362985","-2.48431744362985","-120.90344892332","","","","","","","","","-370.991404915391","","","-52.1706663162269","","-318.820738599164","-491.894853838711","1705.89797795917","1705.89797795917","-120.90344892332","2197.79283179788","1705.89797795917","","","","","","","","","","","","","","","","n.a.","1705.89797795917","9156.36599140509","","","","-7450.46801344593","","","-13083.2437639693","5632.77575052342","n.a.","1705.89797795917","-940.728205321171","","","","","","","","","-940.728205321171","",""
"732.","OXFORD BIOMEDICA PLC","03252665","70100","31/12/2024","128797","845","89","OXB","Activities of head offices","GB0006648157","-39375","-16770","-47265","-33242","-281","","","","","","","-281","-24798","","","-15606","-1513","-7679","-58321","74873","121586","21660","231643","173322","-39790","","","","","","","-39790","-65621","-1020","-64601","-7424","","-7424","","-112835","60487","52981","","","","4065","394856","","-399500","8709","3441","60487","-58556","2585","","1508","","","","","12337","-42126","-13.020489608","-36.697283322"
