"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"1.","1SPATIAL PLC","05429800","62090","31/01/2025","33383","344","95","SPA","Other information technology and computer service activities","GB00B09LQS34","872","5069","217","-4627","-369","-369","","","","","","","-11238","-171","","-6849","-3269","-949","-16234","1779","2505","65","41441","25207","-4273","","","","","","","-4273","-911","","-911","-316","-241","-75","-1226","-6726","18481","20191","","","","-1710","30597","","-40975","8668","n.a.","18481","4362","","-218","-5515","","","","","769","-602","15.184375281","0.650031453"
"2.","3I GROUP PLC","01142830","64999","31/03/2025","5062000","226","95","III","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB00B1YW4409","5024000","5036000","5039000","","","","","","","","","","-150000","-1000","","","","-149000","-150000","437000","25863000","","26056000","25906000","-1194000","","","","","","","-1194000","-81000","","-81000","-3000","-1000","-2000","-17000","-1295000","24611000","719000","","","","23892000","792000","","1845000","21255000","n.a.","24611000","751000","-45000","-3000","-16000","","","-625000","","-5000","57000","99.486369024","99.545634137"
"3.","3I INFRASTRUCTURE PLC","JE95682","64301","31/03/2024","374000","9","n.a.","3IN","Activities of investment trusts","JE00BF5FX167","382000","382000","347000","","","","","","","","","","-48000","","","","","-48000","-48000","-7000","3884000","","3932000","3884000","-510000","","","","","","","-510000","-32000","","-32000","","","","","-542000","3342000","879000","","","","2463000","","","1282000","1181000","n.a.","3342000","117000","-34000","","","","","-106000","","23000","","","92.780748663"
"4.","4BASEBIO PLC","13519889","74909","31/12/2024","933","100","81","4BB","Other professional, scientific and technical activities (not including environmental consultancy or quantity surveying) n.e.c.","GB00BMCLYF79","-12042","-11109","-12654","-1694","-147","","","","","","","-147","-1424","","","-593","","-831","-3265","33623","37282","-1037","44727","41462","-14294","","","","","","","-14294","-788","-54","-734","","","","","-15082","26380","13772","","","","12608","37250","","-38723","14081","n.a.","26380","-11152","598","-204","-1571","","","","","43881","31552","n.s.","n.s."
"5.","4IMPRINT GROUP PLC","00177991","70100","28/12/2024","1092485","1654","97","FOUR","Activities of head offices","GB0006640972","118281","123711","123313","-61018","","","","","","","","","-16371","","","-11021","-3434","-1916","-77390","105902","147831","-16213","229614","152224","","","","","","","","","-2715","","-2715","-1677","-1677","","","-4392","147832","15095","","","","132737","56545","","74036","2156","n.a.","147832","134494","","-28592","-80824","","","-52312","","-2795","-30030","11.323816803","11.287386097"
"6.","80 MILE PLC","05389216","08990","31/12/2024","","7","28","80M","Other mining and quarrying n.e.c.","GB00BFD3VF20","-9676.595","-4461.709","-9561.414","-240.736","","","","","","","","","-450.569","","","-230.609","","-219.96","-691.305","1830.44","7875.077","-240.736","34153.95","33462.645","","","","","","","","","","","","-496.045","-496.045","","","-496.045","32966.6","7651.735","","","","25314.865","66986.078","","-34078.292","-7592.921","n.a.","32966.6","-3034.225","0.075","","-760.583","","","","","4235.037","440.304","",""
"7.","A.G. BARR P.L.C.","SC005653","11070","25/01/2025","420400","964","95","BAG","Manufacture of soft drinks; production of mineral waters and other bottled waters","GB00B6XZKY75","51700","63900","53200","-32400","","","","","","","","","-44000","","","-36800","-4000","-3200","-76400","97500","222300","72600","432900","356500","","","","","","","","","-2900","","-2900","-36000","-36000","","","-38900","317600","4700","","","","312900","900","","308400","3600","n.a.","317600","59100","-300","-9300","-40700","","","-17200","","-3800","-12200","15.199809705","12.654614653"
"8.","AB DYNAMICS PLC","08393914","82990","31/08/2025","114700","566","99","ABDP","Other business support service activities n.e.c.","GB00B9GQVG73","15500","25000","14600","-16300","","","","","","","","","-19700","","","","-1400","-18300","-36000","43400","72400","13900","188900","152900","","","","","","","","","-3300","","-3300","-9700","-9700","","","-13000","139900","200","","","","139700","62900","","76000","800","n.a.","139900","26900","700","-2900","-6500","","","-1900","","-3400","12900","21.795989538","12.72885789"
"9.","ABERDEEN ASIA FOCUS PLC","03106339","64301","31/07/2025","15203","","95","AAS","Activities of investment trusts","GB00BMF19B58","12879","12879","12336","","-34871","-34871","","","","","","","-9979","","","","","-9979","-44850","-26610","594341","","639191","594341","-29913","","","","","","","-29913","","","","-5835","-5835","","","-35748","558593","10965","10965","","","547628","90962","","19523","437143","n.a.","558593","6726","","","29419","","","-11047","","-24320","778","","81.141879892"
"10.","ABERDEEN EQUITY INCOME TRUST PLC","02648152","64301","30/09/2024","12735","","95","AEI","Activities of investment trusts","GB0006039597","12024","12024","11570","","-22462","-22462","","","","","","","-414","","","","","-414","-22876","-19563","158415","","181291","158415","","","","","","","","","","","","","","","","n.a.","158415","12295","12295","","","146120","52043","","10300","83777","n.a.","158415","","","","","","","","","","","","90.851982725"
"11.","ABERDEEN GROUP PLC","SC286832","70100","31/12/2024","1370000","4619","97","ABDN","Activities of head offices","GB00BF8Q6K64","-8000","153000","251000","","","","","","","","","","-2502000","-3000","","-246000","","-2253000","-2502000","604000","3647000","115000","7721000","5219000","","","","","","","","","-7000","-7000","","-165000","-101000","-64000","-8000","-180000","5039000","257000","","","","4777000","640000","","4480000","-343000","5000","5039000","238000","-47000","-25000","258000","","","-260000","","-35000","129000","11.167883212","18.321167883"
"12.","ABERDEEN NEW INDIA INVESTMENT TRUST PLC","02902424","64301","31/03/2025","4664","","89","ANII","Activities of investment trusts","GB0006048770","323","323","-1658","","-19488","-19488","","","","","","","-2308","","","","","-2308","-21796","-17874","446227","","468023","446227","","","","","","","","","","","","-20628","-20628","","","-20628","425599","14768","","","","410831","25406","","-4557","389982","n.a.","425599","-210","-2093","","39171","","","","","-39095","-2227","","-35.548885077"
"13.","ABERDEEN UK SMALLER COMPANIES GROWTH TRUST PLC","SC145455","64301","30/06/2025","11344","","92","AUSC","Activities of investment trusts","GB0002959582","9941","9941","9330","","-40418","-39991","-427","","","","","","-1385","","","","","-1385","-41803","-24634","359195","","400998","359195","","","","","","","","","","","","","","","","n.a.","359195","26041","26041","","","333154","170146","","14434","148574","n.a.","359195","9598","","","64389","","","-8423","","-65266","298","","82.246121298"
"14.","ABERFORTH GEARED VALUE & INCOME TRUST PLC","15602886","64301","30/06/2025","7879","","86","AGVI","Activities of investment trusts","GB00BPJMQ253","7364","7364","7363","","","","","","","","","","-109","","","","","-109","-109","1656","149654","","149763","149654","-42731","","","","","","","-42731","","","","","","","","-42731","106923","1073","1073","","","105850","","","5747","100103","n.a.","106923","5979","-5","","-17134","","","-1610","","13819","1049","","93.450945551"
"15.","ABERFORTH SMALLER COMPANIES TRUST PLC","SC126524","64301","31/12/2024","54506","","92","ASL","Activities of investment trusts","GB0000066554","50058","50058","47631","","","","","","","","","","-302","","","","","-302","-302","3921","1501317","2794","1501619","1501317","-104000","","","","","","","-104000","","","","","","","","-104000","1397317","838","838","","","1396479","","","103854","1292625","n.a.","1397317","43673","-6452","","-19105","","","-43130","","23629","-1385","","87.38670972"
"16.","ABINGDON HEALTH PLC","06475379","20590","30/06/2025","8429","121","86","ABDX","Manufacture of other chemical products n.e.c.","GB00BLF79J41","-3509","-3039","-3496","-1458","-93","","","","","","","-93","-1368","","","-433","-305","-630","-2919","2211","3305","316","9313","6394","-652","","","","","","","-652","-351","","-351","-91","","-91","","-1094","5300","94","","","","5206","37043","","-32173","336","n.a.","5300","-3001","-255","151","-1527","","","","","5106","474","-36.054098944","-41.47585716"
"17.","ABRDN DIVERSIFIED INCOME AND GROWTH PLC","SC003721","64301","30/09/2024","15638","","29","ADIG","Activities of investment trusts","GB0001297562","14158","14158","13874","","","","","","","","","","-2152","-1800","","","","-352","-2152","20781","203306","","205458","203306","","","","","","","","","","","","","","","","n.a.","203306","3238","3238","","","200068","","","28388","171680","n.a.","203306","13539","-604","-1803","141378","","","-17805","","-133276","1429","","88.719785139"
"18.","ABRDN EUROPEAN LOGISTICS INCOME PLC","11032222","64301","31/12/2024","33138.794","","30","ASLI","Activities of investment trusts","GB00BD9PXH49","18602.959","18602.959","11535.917","-2063.321","-116542.944","-115979.168","","","-563.776","","-563.776","","-13932.379","-3329.751","","-718.359","-614.202","-9270.067","-132538.645","500.125","414040.671","5521.204","546579.316","414040.671","-19605.687","","","-19605.687","","-19605.687","","","-79618.913","","-79618.913","-5559.229","-5559.229","","","-104783.828","309256.843","3899.314","","","","305357.526","","","23994.379","281363.148","n.a.","309256.841","15205.422","-4244.027","-1625.196","27491.113","","","-11449.119","","-19632.967","5745.225","","34.810913759"
"19.","ACCENTURE PUBLIC LIMITED COMPANY","IE471706","70100","31/08/2024","49382422.5257217","","92","ACN","Activities of head offices","IE00B4BNMY34","7301879.38146544","8122172.43717898","7380619.15863915","-2087877.13240889","-720024.849976272","","","","","","","-720024.849976272","-11631823.0830587","-547181.313495804","","-10532045.1026627","","-552597.508577768","-14439725.0654439","6330157.59136474","9840517.77142537","8401785.29685018","42561264.756141","28121539.6906971","-1862874.83769543","","","-1803043.34684904","","-1803043.34684904","","-59831.4908463866","-2355234.32516658","","-2355234.32516658","-326325.964107725","-326325.964107725","","-1381768.57916692","-5926203.70613665","22195335.9845605","54.7090412319603","","","","21525954.0315363","","","17564377.2463661","3961576.78517023","669325.560627836","22195334.3012054","6861373.9649515","","86805.5732064153","","-5373631.44788561","","-2466576.48252675","","-2147399.72759171","-3039428.11984615","16.447496947","14.945842632"
"20.","ACCESSO TECHNOLOGY GROUP PLC","03959429","82990","31/12/2024","121628","689","97","ACSO","Other business support service activities n.e.c.","GB0001771426","10511","17276","9329","-19505","","","","","","","","","-15301","-4363","","-6474","-1405","-3059","-34807","33650","46975","8264","210350","175543","-11224","","","","","","","-11224","-1397","","-1397","-5714","-5714","","","-18335","157208","473","","","","156734","123289","","25395","8051","n.a.","157207","8562","477","-119","-2509","","","","","-12358","-5947","14.203966192","7.670108857"
"21.","ACCSYS TECHNOLOGIES PLC","05534340","70100","31/03/2025","114136","215","85","AXS","Activities of head offices","GB00BQQFX454","-3660","18467","-17380","-7047","-4699","","","","","","","-4699","-13511","-5896","","-6299","-513","-803","-25256","28029","117785","29411","151160","125904","-41830","","","","","","","-41830","-2775","","-2775","","","","","-44605","81299","10043","","","","71256","219646","","-244011","95620","n.a.","81298","6356","1602","-1205","-13894","","","","","-1112","-8253","16.179820565","-15.227447957"
"22.","ACTIVEOPS PLC","03125867","63110","31/03/2025","30459","187","99","AOM","Data processing, hosting and related activities","GB00BLH37Y17","1002","2425","1331","-90","","","","","","","","","-22051","-167","","-19960","-1780","-144","-22141","4190","5088","4772","33022","10881","","","","","","","","","-106","","-106","-899","-508","-391","","-1005","9876","71","","","","9805","6048","","3368","389","n.a.","9876","5087","118","-207","4618","","","","","-96","9520","7.961522046","4.369808595"
"23.","ACUITY RM GROUP PLC","00298654","70100","31/12/2024","2132","26","86","ENGI","Activities of head offices","GB00B06CZD75","-1076","-1076","-1325","-141","-91","-68","","","","","","-23","-1753","","","-1639","-104","-10","-1985","-707","-491","354","6967","4982","-92","","","","","","","-92","-1090","-1090","","","","","","-1182","3800","2796","","","","1004","13370","","-13517","1151","n.a.","3800","-196","","","-250","","","","","952","506","","-62.148217636"
"24.","ADMIRAL GROUP PLC","03849958","65120","31/12/2024","5296100","14520","95","ADM","Non-life insurance","GB00B02J6398","865700","954200","839200","-5013800","","","","","","","","","-166500","-35000","","-76400","-12500","-42600","-5180300","2316400","2374600","-4025200","7944200","2763900","","","","","","","","","-1393200","","-1393200","","","","","-1393200","1370700","300","","","","1369800","13100","","1383400","-26700","600","1370700","166200","73900","52200","-144200","","","-369800","","188600","-33100","18.0170314","15.84562225"
"25.","ADVANCED MEDICAL SOLUTIONS GROUP PLC","02867684","70100","31/12/2024","177521","1229","95","AMS","Activities of head offices","GB0004536594","11219","27521","9823","-13855","","","","","","","","","-30476","-1780","","-8934","","-19762","-44331","81947","116631","87310","388496","344165","","","","","","","","","-82403","","-82403","-20246","-20246","","","-102649","241516","10892","","","","229885","37525","","180474","11886","739","241516","24539","-2760","-5050","-68378","","","-5201","","14668","-42182","15.50295458","5.533429848"
"26.","AEOREMA COMMUNICATIONS PLC","04314540","70100","30/06/2024","20288.799","74","99","AEO","Activities of head offices","GB00B4QHH456","440.748","706.74","436.928","-2127.981","-27.778","-27.778","","","","","","","-3510.242","-118.973","","-3121.594","-3.316","-266.359","-5666.001","1875.372","2220.199","-519.268","9020.73","3354.729","","","","","","","","","-500.814","","-500.814","-48.19","-25.69","-22.5","","-549.004","2805.725","1192.25","","","","1613.475","21.876","","1191.204","400.395","n.a.","2805.725","1262.624","34.264","-55.451","-196.711","","","-286.14","","-83.333","675.253","3.48339988","2.153542948"
"27.","AEP PLANTATIONS PLC","01884630","70100","31/12/2024","297311","15440","97","AEP","Activities of head offices","GB0000365774","65278","80548","70354","-9214","","","","","","","","","-13486","-4365","","-7527","-959","-635","-22700","219364","456460","6140","479700","457000","","","","","","","","","-362","","-362","-1777","-1777","","-8844","-10983","446017","12382","","","","427703","19116","","700738","-292151","5932","446017","81168","52","-17877","-28400","","","-4726","","-1154","29062","27.092169479","23.663436603"
"28.","AEW UK REIT PLC","09522515","64306","31/03/2025","22677","","86","AEWU","Activities of real estate investment trusts","GB00BWD24154","25677","25677","24370","-375","-13","","","","-13","","-13","","-6671","","","-5248","","-1423","-7059","30005","234390","-375","241449","234390","-59947","","","-174","","-174","","-59773","","","","","","","","-59947","174443","1587","","","","172856","56578","","116543","-265","n.a.","174443","8646","-1183","","20606","","","-12691","","-782","14596","","n.s."
"29.","AFC ENERGY PLC","05668788","72190","31/10/2024","4002","136","32","AFC","Other research and experimental development on natural sciences and engineering","GB00B18S7B29","-19570","-16976","-19309","-1826","","","","","","","","","-3851","","","-2661","","-1190","-5677","20332","25623","371","36572","30895","","","","","","","","","-159","","-159","-468","","-468","","-627","30268","854","","","","29414","133555","","-108770","4629","n.a.","30268","-21321","41","2685","-8020","","","","","14623","-11992","n.s.","n.s."
"30.","AFENTRA PLC","01757721","06100","31/12/2024","144445","18","99","AET","Extraction of crude petroleum","GB00B4X3Q493","59475","69756","52372","-835","-46961","","-37959","","","","","-9002","-9005","-1439","","-2046","","-5520","-56801","1571","106228","5224","180982","124181","-24076","","","","","","","-24076","-20008","","-20008","-1327","-1327","","","-45411","78770","23092","","","","55678","","","55272","406","n.a.","78771","69144","3060","-7797","-42854","","","","","4108","25662","48.292429645","36.25739901"
"31.","AFERIAN PLC","05083390","62020","30/11/2024","20722","92","28","AFRN","Computer consultancy activities","GB00B013SN63","-9847","-3484","-11388","-5125","-10302","-10302","","","","","","","-3543","-216","","-2580","-388","-359","-18969","-10875","-10632","233","27444","8475","-1504","","","","","","","-1504","-528","","-528","-524","-467","-57","","-2555","5920","1435","","","","4485","34204","","-57959","28240","n.a.","5920","-3957","608","779","-1527","","","","","1406","-2691","-16.813048934","-54.95608532"
"32.","AGRONOMICS LIMITED","IM006874V","64301","30/06/2024","-8342.317","4","n.a.","ANIC","Activities of investment trusts","IM00B6QH1J21","-12164.493","-12164.493","-10989.608","-108.849","","","","","","","","","-57.318","","","","","-57.318","-166.167","157269.07","157269.07","-108.849","157435.237","157269.07","","","","","","","","","","","","","","","","n.a.","157269.07","1.008","","","","157268.062","136169.365","","21098.697","","n.a.","157269.07","-15537.895","-322.677","","892.004","","","","","1.68","-14966.888","n.s.","n.s."
"33.","AIREA PLC","00526657","70100","31/12/2024","21234","120","92","AIEA","Activities of head offices","GB0008123027","693","1115","63","-1945","-404","","","","","","","-404","-1345","","","","-419","-926","-3694","11659","21562","5759","26315","22621","-500","","","","","","","-500","-244","","-244","-2334","-2334","","-4007","-7085","15536","10339","","","","5197","504","3448","-1472","2717","n.a.","15536","-1003","550","345","-2212","","","-212","","-1163","-3695","5.251012527","0.296693981"
"34.","AIRTEL AFRICA PLC","11462215","64209","31/03/2025","3825000","4180","92","AAF","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BKDRYJ47","1125000","1766000","510000","-374000","-846000","-343000","","","","","","-503000","-2054000","-69000","","-104000","-174000","-1707000","-3275000","-1607000","714000","-202000","9281000","6006000","-946000","","","","","","","-946000","-2817000","","-2817000","-101000","-82000","-19000","","-3864000","2142000","1417000","","","","503000","","","503000","","223000","2142000","1502000","-56000","-249000","-454000","","","-177000","","-442000","124000","46.169934641","13.333333333"
"35.","AJ BELL PLC","04503206","82990","30/09/2025","317847","1505","97","AJB","Other business support service activities n.e.c.","GB00BFZNLB60","131957","136037","137826","-1937","","","","","","","","","-71210","","","-57810","-3806","-9594","-73147","195219","204391","-459","303080","229933","","","","","","","","","-9842","","-9842","-2639","","-2639","","-12481","217452","50","","","","217402","9138","","209190","-926","n.a.","217452","104388","931","-12034","-2436","","","-52288","","-47020","-8459","42.799523041","43.362372462"
"36.","ALBA MINERAL RESOURCES PLC","05285814","64209","30/11/2024","","7","28","ALBA","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00B06KBB18","-3062","-3048","-3523","-105","","","","","","","","","-125","","","-102","","-23","-230","-15","3355","-105","7756","7526","","","","","","","","","","","","","","","","n.a.","7526","5455","","","","2071","11973","","-10317","415","n.a.","7526","-442","","","-628","","","","","1099","29","",""
"37.","ALBION CROWN VCT PLC","03495287","64303","30/06/2025","1916","","89","CRWN","Activities of venture and development capital companies","GB0002577434","531","531","531","-97","","","","","","","","","-1069","","","-926","","-143","-1166","37660","170112","-97","171278","170112","","","","","","","","","","","","","","","","n.a.","170112","5643","5643","","","164469","83939","","","80530","n.a.","170112","-1017","","","-9990","","","-5884","","33367","16476","","27.713987474"
"38.","ALBION ENTERPRISE VCT PLC","05990732","64303","31/03/2025","2742","5","92","AAEV","Activities of venture and development capital companies","GB00B1G3LR35","1094","1094","1094","-148","","","","","","","","","-1545","","","-1545","","","-1693","75007","278824","-148","280517","278824","","","","","","","","","","","","-298","","-298","","-298","278526","2578","2578","","","275948","195529","","12043","68376","n.a.","278526","-1779","","","15386","","","-21689","","45913","37831","","39.897884756"
"39.","ALBION TECHNOLOGY & GENERAL VCT PLC","04114310","64303","31/12/2024","2345","","47","AATG","Activities of venture and development capital companies","GB0005581672","975","975","975","-1573","","","","","","","","","-911","","","-911","","","-2484","46891","251653","-1573","254137","251653","","","","","","","","","","","","-333","","-333","","-333","251320","3721","3721","","","247599","137720","","42375","67504","n.a.","251320","-1169","","","-1390","","","-5888","","30683","22236","","41.57782516"
"40.","ALFA FINANCIAL SOFTWARE HOLDINGS PLC","10713517","62020","31/12/2024","109900","485","97","ALFA","Computer consultancy activities","GB00BDHXPG30","34300","37000","34100","-16700","","","","","","","","","-10800","","","","","-10800","-27500","14300","15500","-8100","84700","57200","","","","","","","","","-9200","","-9200","-1800","-1000","-800","","-11000","46200","300","","","","45900","","","53700","-7800","n.a.","46200","37000","","-8100","-5900","","","-22100","","-2000","-1100","33.666969973","31.028207461"
"41.","ALINA HOLDINGS PLC","05304743","68209","31/12/2024","321","","93","ALNA","Letting and operating of own or leased real estate (other than Housing Association real estate and conference and exhibition services) n.e.c.","GB00B1VS7G47","-321","-321","-327","-152","-22","","","","-22","","-22","","-333","","","-183","","-150","-507","2954","4957","-67","5464","4957","-310","","","-310","","-310","","","","","","","","","","-310","4647","319","","","","4328","","","3730","598","n.a.","4647","-813","","","538","","","","","8","-267","","n.s."
"42.","ALLEGION PUBLIC LIMITED COMPANY","IE527370","70100","31/12/2024","3017854.07534182","12700","92","ALLE","Activities of head offices","IE00BFRT3W74","622819.414937849","715702.310350509","559057.427746086","-521616.260506707","","","","","","","","","","","","","","","-521616.260506707","616259.210361386","1421964.32703762","213206.645422625","3590351.92213938","3068735.66163268","-1673732.17517265","","","","","","","-1673732.17517265","","","","-194406.060570457","-194406.060570457","","","-1868138.2357431","1200597.42588957","720.022271734909","","","","1199877.40361784","74402.3196309352","","1214757.86804089","-89282.7832258799","n.a.","1200597.42588957","540016.833813795","","","-182725.695961001","","","-133604.164940271","","-182005.673689266","41681.2992232573","23.71560362","18.524998684"
"43.","ALLERGY THERAPEUTICS PLC","05141592","21200","30/06/2025","56044","584","93","AGY","Manufacture of pharmaceutical preparations","GB00B02LCQ05","-28162","-23990","-39200","-4491","-12337","","","","-1475","","-1475","-10862","-10364","-912","","-6815","-1283","-1354","-27192","7485","29866","15340","67543","40351","-58209","-53040","","-5169","","-5169","","","","","","-1743","-68","-1675","-8592","-68544","-28193","4766","","","","-32959","154639","2151","-235226","45477","n.a.","-28193","-27539","-63","-570","-3155","","","","","31495","168","-42.805652701","-69.94504318"
"44.","ALLFUNDS GROUP PLC","10647359","64209","31/12/2024","544337.439","1045","88","ALLFG","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BNTJ3546","182455.98","198580.638","-58492.187","","-5307.928","","","","-5307.928","","-5307.928","","-2030814.249","-22866.826","","","","-2007947.423","-2036122.178","448758.371","506094.076","99065.884","4192880.88","2156758.702","-9626.353","","","-9626.353","","-9626.353","","","-328953.459","","-328953.459","-127505.166","-122616.351","-4888.815","","-466084.978","1690673.724","1262.296","","","","1689411.423","1620404.232","","54644.952","14362.239","n.a.","1690673.72","303064.396","-20090.932","-72917.251","-90084.318","","","-47861.452","","-13924.939","58185.501","36.481164765","-10.74557486"
"45.","ALLIANCE WITAN PLC","SC001731","64301","31/12/2024","72463","","89","ALW","Activities of investment trusts","GB00B11V7W98","63421","63421","60200","-7361","-45280","-45245","-35","","","","","","-5661","-95","","","","-5566","-58302","135705","5538086","-7260","5596388","5538086","-15000","","","","","","","-15000","-299276","","-299276","-1857","-1857","","","-316133","5221953","10130","","","","5211823","1530930","","55568","3625325","n.a.","5221953","48119","","-10701","-5108","","","-82414","","149497","99393","","83.076880615"
"46.","ALLIANZ TECHNOLOGY TRUST PLC","03117355","64999","31/12/2024","6571","5","89","ATT","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB00BNG2M159","-3418","-3418","-3418","","","","","","","","","","-2950","","","","","-2950","-2950","31324","1746867","","1749817","1746867","","","","","","","","","","","","","","","","n.a.","1746867","10719","","","","1736148","334191","","-41743","1443700","n.a.","1746867","","","","","","","","","","","","-52.016435855"
"47.","ALTERNATIVE INCOME REIT PLC","10727886","64306","30/06/2025","8570","","89","AIRE","Activities of real estate investment trusts","GB00BDVK7088","8693","8693","7258","-55","-41212","","","","","","","-41212","-2567","","","-2093","","-474","-43834","-36450","67327","233","111161","67327","","","","","","","","","","","","","","","","n.a.","67327","805","","","","66522","","","1143","65379","n.a.","67327","8939","","","-2724","","","-5052","","-1307","-144","","84.690781797"
"48.","ALTITUDE GROUP PLC","05193579","70100","31/03/2025","28761","117","95","ALT","Activities of head offices","GB00B0LSFV82","433","2037","325","-1620","","","","","","","","","-2996","","","-2537","-314","-145","-4616","3870","5900","2328","16790","12174","","","","","","","","","-39","","-39","-378","-378","","","-417","11757","353","","","","11404","22480","","-8495","-2581","n.a.","11757","1463","-110","100","-1890","","","","","-188","-625","7.082507562","1.130002434"
"49.","ALTYNGOLD PLC","05048549","08990","31/12/2024","77088.091","530","99","ALTN","Other mining and quarrying n.e.c.","GB00B015PT76","33857.519","41079.786","24243.271","-1517.45","-23321.619","","","","","","","-23321.619","-4795.144","","","","-3233.767","-1561.377","-29634.214","13760.882","83563.614","20115.007","125081.862","95447.648","-24714.479","","","","","","","-24714.479","","","","-5117.801","-539.094","-4578.707","","-29832.28","65615.368","3407.874","","","","62207.492","122066.129","","629.343","-60487.98","n.a.","65615.366","23456.592","-3547.639","","-17453.877","","","","","-1547","908.074","53.289406272","31.448788893"
"50.","AMCOMRI GROUP PLC","14390325","64209","31/12/2024","58066","365","99","AMCO","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BMBWCV32","3869","5830","1675","-4900","-4687","","","","","","","-4687","-10453","-592","","-3832","-2027","-4002","-20040","10381","17520","10948","59124","39084","-9516","","","","","","","-9516","-7151","","-7151","-2004","-1929","-75","","-18671","20413","718","","","","19862","16773","","3089","","-167","20413","4863","68","-252","-3574","","","","","6929","8034","10.04029897","2.884648503"
"51.","AMICORP FS (UK) PLC","14704124","64205","31/12/2024","12471.846","216","86","AMIF","Activities of financial services holding companies","GB00BNTWWT07","654.899","728.376","840.986","-315.469","-350.609","","-154.14","","-196.469","","-196.469","","-1741.873","","","","-309.081","-1432.792","-2407.954","3184.251","3526.077","1925.565","6317.386","3909.432","-172.509","","","-172.509","","-172.509","","","","","","","","","","-172.509","3736.923","95.838","","","","3641.083","4783.163","","-128.584","-1013.497","n.a.","3736.921","588.611","","-268.348","-43.925","","","","","-252.376","23.959","5.840161913","6.743075564"
